Station,Date(NZST),Amount(mm),SofG,Deficit(mm),Runoff(mm),Period(Hrs),Freq
1962,1965 01 01 09 00,0.0,-,97.9,0.0,24,D
1962,1965 01 02 09 00,7.1,-,94.5,0.0,24,D
1962,1965 01 03 09 00,0.0,-,98.4,0.0,24,D
1962,1965 01 04 09 00,0.0,-,102.1,0.0,24,D
1962,1965 01 05 09 00,0.0,-,105.5,0.0,24,D
1962,1965 01 06 09 00,0.0,-,108.6,0.0,24,D
1962,1965 01 07 09 00,0.0,-,111.6,0.0,24,D
1962,1965 01 08 09 00,0.0,-,114.3,0.0,24,D
1962,1965 01 09 09 00,3.8,-,113.0,0.0,24,D
1962,1965 01 10 09 00,0.0,-,115.6,0.0,24,D
1962,1965 01 11 09 00,0.0,-,118.1,0.0,24,D
1962,1965 01 12 09 00,0.0,-,120.3,0.0,24,D
1962,1965 01 13 09 00,0.0,-,122.4,0.0,24,D
1962,1965 01 14 09 00,0.0,-,124.4,0.0,24,D
1962,1965 01 15 09 00,3.6,-,122.6,0.0,24,D
1962,1965 01 16 09 00,62.2,-,62.4,0.0,24,D
1962,1965 01 17 09 00,4.8,-,62.9,0.0,24,D
1962,1965 01 18 09 00,5.6,-,62.6,0.0,24,D
1962,1965 01 19 09 00,3.6,-,64.3,0.0,24,D
1962,1965 01 20 09 00,3.8,-,65.8,0.0,24,D
1962,1965 01 21 09 00,0.0,-,71.1,0.0,24,D
1962,1965 01 22 09 00,7.1,-,69.4,0.0,24,D
1962,1965 01 23 09 00,0.0,-,74.7,0.0,24,D
1962,1965 01 24 09 00,0.5,-,79.5,0.0,24,D
1962,1965 01 25 09 00,1.0,-,83.5,0.0,24,D
1962,1965 01 26 09 00,0.0,-,88.2,0.0,24,D
1962,1965 01 27 09 00,0.0,-,92.6,0.0,24,D
1962,1965 01 28 09 00,0.0,-,96.6,0.0,24,D
1962,1965 01 29 09 00,0.0,-,100.4,0.0,24,D
1962,1965 01 30 09 00,21.3,-,82.6,0.0,24,D
1962,1965 01 31 09 00,0.8,-,86.6,0.0,24,D
1962,1965 02 01 09 00,1.3,-,89.8,0.0,24,D
1962,1965 02 02 09 00,0.5,-,92.8,0.0,24,D
1962,1965 02 03 09 00,0.0,-,96.1,0.0,24,D
1962,1965 02 04 09 00,0.0,-,99.3,0.0,24,D
1962,1965 02 05 09 00,0.0,-,102.2,0.0,24,D
1962,1965 02 06 09 00,7.6,-,97.4,0.0,24,D
1962,1965 02 07 09 00,0.0,-,100.5,0.0,24,D
1962,1965 02 08 09 00,0.0,-,103.3,0.0,24,D
1962,1965 02 09 09 00,0.0,-,106.1,0.0,24,D
1962,1965 02 10 09 00,0.0,-,108.6,0.0,24,D
1962,1965 02 11 09 00,4.8,-,106.2,0.0,24,D
1962,1965 02 12 09 00,70.4,-,38.4,0.0,24,D
1962,1965 02 13 09 00,38.1,-,4.6,0.0,24,D
1962,1965 02 14 09 00,2.8,-,6.2,0.0,24,D
1962,1965 02 15 09 00,0.0,-,10.6,0.0,24,D
1962,1965 02 16 09 00,0.0,-,14.9,0.0,24,D
1962,1965 02 17 09 00,0.0,-,19.3,0.0,24,D
1962,1965 02 18 09 00,12.2,-,11.5,0.0,24,D
1962,1965 02 19 09 00,0.0,-,15.8,0.0,24,D
1962,1965 02 20 09 00,0.0,-,20.2,0.0,24,D
1962,1965 02 21 09 00,0.0,-,24.6,0.0,24,D
1962,1965 02 22 09 00,3.6,-,25.3,0.0,24,D
1962,1965 02 23 09 00,0.0,-,29.7,0.0,24,D
1962,1965 02 24 09 00,0.0,-,34.0,0.0,24,D
1962,1965 02 25 09 00,3.0,-,35.4,0.0,24,D
1962,1965 02 26 09 00,0.0,-,39.8,0.0,24,D
1962,1965 02 27 09 00,0.0,-,44.1,0.0,24,D
1962,1965 02 28 09 00,0.0,-,48.5,0.0,24,D
1962,1965 03 01 09 00,0.0,-,52.9,0.0,24,D
1962,1965 03 02 09 00,5.6,-,50.4,0.0,24,D
1962,1965 03 03 09 00,3.0,-,50.4,0.0,24,D
1962,1965 03 04 09 00,8.6,-,44.9,0.0,24,D
1962,1965 03 05 09 00,2.3,-,45.7,0.0,24,D
1962,1965 03 06 09 00,0.0,-,48.8,0.0,24,D
1962,1965 03 07 09 00,0.0,-,51.9,0.0,24,D
1962,1965 03 08 09 00,0.0,-,55.0,0.0,24,D
1962,1965 03 09 09 00,0.0,-,58.0,0.0,24,D
1962,1965 03 10 09 00,0.0,-,61.1,0.0,24,D
1962,1965 03 11 09 00,0.0,-,64.2,0.0,24,D
1962,1965 03 12 09 00,0.0,-,67.3,0.0,24,D
1962,1965 03 13 09 00,0.0,-,70.4,0.0,24,D
1962,1965 03 14 09 00,0.0,-,73.5,0.0,24,D
1962,1965 03 15 09 00,0.0,-,76.5,0.0,24,D
1962,1965 03 16 09 00,0.0,-,79.6,0.0,24,D
1962,1965 03 17 09 00,23.6,-,58.9,0.0,24,D
1962,1965 03 18 09 00,1.5,-,60.4,0.0,24,D
1962,1965 03 19 09 00,3.3,-,60.2,0.0,24,D
1962,1965 03 20 09 00,0.0,-,63.3,0.0,24,D
1962,1965 03 21 09 00,1.5,-,64.9,0.0,24,D
1962,1965 03 22 09 00,0.0,-,68.0,0.0,24,D
1962,1965 03 23 09 00,0.0,-,71.1,0.0,24,D
1962,1965 03 24 09 00,19.1,-,55.0,0.0,24,D
1962,1965 03 25 09 00,0.8,-,57.3,0.0,24,D
1962,1965 03 26 09 00,0.0,-,60.4,0.0,24,D
1962,1965 03 27 09 00,13.0,-,50.5,0.0,24,D
1962,1965 03 28 09 00,3.0,-,50.6,0.0,24,D
1962,1965 03 29 09 00,1.0,-,52.7,0.0,24,D
1962,1965 03 30 09 00,1.8,-,53.9,0.0,24,D
1962,1965 03 31 09 00,0.0,-,57.0,0.0,24,D
1962,1965 04 01 09 00,0.0,-,60.1,0.0,24,D
1962,1965 04 02 09 00,0.0,-,62.2,0.0,24,D
1962,1965 04 03 09 00,0.0,-,64.2,0.0,24,D
1962,1965 04 04 09 00,0.0,-,66.2,0.0,24,D
1962,1965 04 05 09 00,2.8,-,65.5,0.0,24,D
1962,1965 04 06 09 00,1.8,-,65.7,0.0,24,D
1962,1965 04 07 09 00,0.0,-,67.7,0.0,24,D
1962,1965 04 08 09 00,0.0,-,69.8,0.0,24,D
1962,1965 04 09 09 00,0.0,-,71.8,0.0,24,D
1962,1965 04 10 09 00,3.0,-,70.8,0.0,24,D
1962,1965 04 11 09 00,0.0,-,72.9,0.0,24,D
1962,1965 04 12 09 00,0.0,-,74.9,0.0,24,D
1962,1965 04 13 09 00,0.8,-,76.1,0.0,24,D
1962,1965 04 14 09 00,0.0,-,78.1,0.0,24,D
1962,1965 04 15 09 00,0.0,-,80.1,0.0,24,D
1962,1965 04 16 09 00,0.0,-,82.0,0.0,24,D
1962,1965 04 17 09 00,0.8,-,83.0,0.0,24,D
1962,1965 04 18 09 00,0.0,-,84.8,0.0,24,D
1962,1965 04 19 09 00,0.0,-,86.6,0.0,24,D
1962,1965 04 20 09 00,0.0,-,88.3,0.0,24,D
1962,1965 04 21 09 00,0.0,-,90.0,0.0,24,D
1962,1965 04 22 09 00,0.0,-,91.6,0.0,24,D
1962,1965 04 23 09 00,0.0,-,93.2,0.0,24,D
1962,1965 04 24 09 00,5.1,-,89.6,0.0,24,D
1962,1965 04 25 09 00,54.9,-,36.4,0.0,24,D
1962,1965 04 26 09 00,7.6,-,30.8,0.0,24,D
1962,1965 04 27 09 00,11.4,-,21.4,0.0,24,D
1962,1965 04 28 09 00,2.0,-,21.5,0.0,24,D
1962,1965 04 29 09 00,2.8,-,20.7,0.0,24,D
1962,1965 04 30 09 00,0.3,-,22.4,0.0,24,D
1962,1965 05 01 09 00,1.3,-,23.2,0.0,24,D
1962,1965 05 02 09 00,2.0,-,22.5,0.0,24,D
1962,1965 05 03 09 00,5.6,-,18.1,0.0,24,D
1962,1965 05 04 09 00,0.0,-,19.4,0.0,24,D
1962,1965 05 05 09 00,0.0,-,20.7,0.0,24,D
1962,1965 05 06 09 00,0.0,-,22.0,0.0,24,D
1962,1965 05 07 09 00,0.8,-,22.5,0.0,24,D
1962,1965 05 08 09 00,1.3,-,22.5,0.0,24,D
1962,1965 05 09 09 00,0.0,-,23.8,0.0,24,D
1962,1965 05 10 09 00,0.0,-,25.1,0.0,24,D
1962,1965 05 11 09 00,0.8,-,25.5,0.0,24,D
1962,1965 05 12 09 00,0.0,-,26.8,0.0,24,D
1962,1965 05 13 09 00,2.0,-,26.1,0.0,24,D
1962,1965 05 14 09 00,17.0,-,10.4,0.0,24,D
1962,1965 05 15 09 00,0.0,-,11.7,0.0,24,D
1962,1965 05 16 09 00,0.0,-,13.0,0.0,24,D
1962,1965 05 17 09 00,0.0,-,14.3,0.0,24,D
1962,1965 05 18 09 00,0.0,-,15.6,0.0,24,D
1962,1965 05 19 09 00,19.6,-,0.0,2.8,24,D
1962,1965 05 20 09 00,0.0,-,1.3,0.0,24,D
1962,1965 05 21 09 00,11.9,-,0.0,9.3,24,D
1962,1965 05 22 09 00,0.0,-,1.3,0.0,24,D
1962,1965 05 23 09 00,0.0,-,2.6,0.0,24,D
1962,1965 05 24 09 00,0.0,-,3.9,0.0,24,D
1962,1965 05 25 09 00,0.0,-,5.1,0.0,24,D
1962,1965 05 26 09 00,10.4,-,0.0,4.0,24,D
1962,1965 05 27 09 00,0.0,-,1.3,0.0,24,D
1962,1965 05 28 09 00,1.0,-,1.6,0.0,24,D
1962,1965 05 29 09 00,2.8,-,0.1,0.0,24,D
1962,1965 05 30 09 00,22.9,-,0.0,21.6,24,D
1962,1965 05 31 09 00,4.3,-,0.0,3.0,24,D
1962,1965 06 01 09 00,0.0,-,1.3,0.0,24,D
1962,1965 06 02 09 00,23.9,-,0.0,21.6,24,D
1962,1965 06 03 09 00,0.0,-,1.1,0.0,24,D
1962,1965 06 04 09 00,0.0,-,2.1,0.0,24,D
1962,1965 06 05 09 00,0.0,-,3.2,0.0,24,D
1962,1965 06 06 09 00,0.0,-,4.2,0.0,24,D
1962,1965 06 07 09 00,1.5,-,3.8,0.0,24,D
1962,1965 06 08 09 00,0.5,-,4.3,0.0,24,D
1962,1965 06 09 09 00,0.0,-,5.4,0.0,24,D
1962,1965 06 10 09 00,0.0,-,6.4,0.0,24,D
1962,1965 06 11 09 00,1.3,-,6.2,0.0,24,D
1962,1965 06 12 09 00,12.2,-,0.0,5.0,24,D
1962,1965 06 13 09 00,10.7,-,0.0,9.6,24,D
1962,1965 06 14 09 00,8.1,-,0.0,7.0,24,D
1962,1965 06 15 09 00,1.8,-,0.0,0.7,24,D
1962,1965 06 16 09 00,0.0,-,1.1,0.0,24,D
1962,1965 06 17 09 00,0.0,-,2.1,0.0,24,D
1962,1965 06 18 09 00,0.0,-,3.2,0.0,24,D
1962,1965 06 19 09 00,0.0,-,4.2,0.0,24,D
1962,1965 06 20 09 00,1.5,-,3.8,0.0,24,D
1962,1965 06 21 09 00,3.3,-,1.5,0.0,24,D
1962,1965 06 22 09 00,0.0,-,2.6,0.0,24,D
1962,1965 06 23 09 00,13.2,-,0.0,9.6,24,D
1962,1965 06 24 09 00,48.3,-,0.0,47.2,24,D
1962,1965 06 25 09 00,5.6,-,0.0,4.5,24,D
1962,1965 06 26 09 00,2.8,-,0.0,1.7,24,D
1962,1965 06 27 09 00,1.3,-,0.0,0.2,24,D
1962,1965 06 28 09 00,1.8,-,0.0,0.7,24,D
1962,1965 06 29 09 00,0.0,-,1.1,0.0,24,D
1962,1965 06 30 09 00,0.0,-,2.1,0.0,24,D
1962,1965 07 01 09 00,0.0,-,3.2,0.0,24,D
1962,1965 07 02 09 00,0.0,-,4.4,0.0,24,D
1962,1965 07 03 09 00,0.0,-,5.7,0.0,24,D
1962,1965 07 04 09 00,0.0,-,6.9,0.0,24,D
1962,1965 07 05 09 00,0.0,-,8.2,0.0,24,D
1962,1965 07 06 09 00,0.0,-,9.4,0.0,24,D
1962,1965 07 07 09 00,12.2,-,0.0,1.5,24,D
1962,1965 07 08 09 00,1.3,-,0.0,0.1,24,D
1962,1965 07 09 09 00,3.3,-,0.0,2.1,24,D
1962,1965 07 10 09 00,10.4,-,0.0,9.2,24,D
