month,day,tmin_median,tmin_x90,tmin_max,tmax_median,tmax_x90,tmax_max
Jan,1,15.7,17.6,19.4,22.6,25.0,26.7
Jan,2,15.6,17.9,20.2,23.1,25.6,27.9
Jan,3,15.8,18.5,20.9,23.6,26.3,27.4
Jan,4,15.6,18.3,19.4,22.8,26.3,27.9
Jan,5,15.9,18.5,20.3,23.0,25.5,28.0
Jan,6,15.8,18.6,20.1,23.1,25.9,26.7
Jan,7,15.9,18.1,19.9,23.4,25.8,27.4
Jan,8,16.5,18.4,19.4,23.5,25.9,26.6
Jan,9,16.4,18.2,19.0,22.6,25.9,27.7
Jan,10,15.8,18.4,19.3,23.6,26.3,27.7
Jan,11,16.0,18.6,20.0,24.0,26.6,29.5
Jan,12,17.1,19.1,19.9,24.0,26.5,29.4
Jan,13,15.9,19.0,19.6,23.6,26.7,28.6
Jan,14,16.1,18.9,20.9,23.6,26.0,27.7
Jan,15,16.2,19.2,20.7,23.7,26.0,28.0
Jan,16,16.0,18.6,20.6,23.2,26.6,28.7
Jan,17,16.4,19.2,20.5,23.4,27.0,29.1
Jan,18,16.8,19.0,20.2,24.0,26.0,28.7
Jan,19,16.4,18.9,21.9,24.0,26.7,28.7
Jan,20,16.8,19.5,21.5,23.4,26.6,28.5
Jan,21,16.9,19.2,21.5,23.4,26.1,29.0
Jan,22,16.5,19.2,20.4,23.8,26.6,29.1
Jan,23,16.5,19.1,20.1,24.2,26.6,28.7
Jan,24,15.8,19.1,20.7,23.7,27.0,28.4
Jan,25,16.8,18.5,21.2,24.4,27.2,28.3
Jan,26,16.3,18.9,21.3,24.4,27.0,28.5
Jan,27,16.9,19.1,19.7,24.4,26.6,28.3
Jan,28,16.4,20.0,21.0,24.4,27.2,29.0
Jan,29,16.3,19.3,21.4,24.6,27.0,28.8
Jan,30,16.6,19.1,20.3,24.4,27.4,30.0
Jan,31,17.1,19.6,21.6,24.8,27.5,28.4
Feb,1,17.0,19.4,20.5,24.3,26.9,28.4
Feb,2,16.4,20.2,21.2,24.5,27.7,29.8
Feb,3,16.4,19.5,20.8,24.6,27.4,30.5
Feb,4,17.0,19.4,21.7,23.4,27.3,30.2
Feb,5,16.5,19.0,21.7,24.1,26.1,28.1
Feb,6,16.6,19.0,20.2,24.1,26.6,28.9
Feb,7,16.4,19.0,21.5,24.2,26.6,29.4
Feb,8,16.6,18.6,22.3,23.8,26.3,29.4
Feb,9,16.4,19.2,21.8,24.1,27.0,28.8
Feb,10,16.9,19.8,22.2,24.1,26.8,28.8
Feb,11,16.6,20.5,22.9,24.1,26.7,28.1
Feb,12,16.8,20.0,22.3,24.7,27.7,28.4
Feb,13,16.1,19.7,21.2,24.2,26.9,28.4
Feb,14,16.8,19.5,21.5,24.1,27.3,29.0
Feb,15,17.0,19.0,21.1,23.7,27.2,28.0
Feb,16,16.4,19.8,21.7,24.5,27.0,28.8
Feb,17,16.6,19.1,21.7,24.1,26.7,28.6
Feb,18,16.7,19.2,21.9,24.0,26.6,28.3
Feb,19,16.5,19.2,21.9,24.4,26.6,27.6
Feb,20,15.6,19.0,21.7,24.2,25.9,29.1
Feb,21,16.4,19.3,20.3,24.6,27.0,28.8
Feb,22,16.8,19.3,21.0,23.9,25.9,28.0
Feb,23,16.0,19.1,21.0,24.5,26.7,28.8
Feb,24,15.8,18.7,20.9,24.4,26.7,27.6
Feb,25,15.7,17.8,21.4,23.8,25.9,26.5
Feb,26,15.8,18.3,18.7,23.8,25.7,26.2
Feb,27,16.1,18.2,20.5,23.8,26.6,27.8
Feb,28,15.8,18.8,21.9,24.0,25.9,27.3
Mar,1,16.2,18.3,19.7,23.6,25.7,27.9
Mar,2,16.2,18.5,20.9,23.6,25.8,27.2
Mar,3,16.4,18.6,20.6,23.4,26.0,27.6
Mar,4,15.5,18.1,20.2,23.2,25.8,26.6
Mar,5,15.3,17.3,20.6,23.6,25.7,27.4
Mar,6,15.6,18.6,19.9,23.3,25.7,27.3
Mar,7,15.8,18.2,20.6,23.4,25.6,26.5
Mar,8,15.8,18.9,21.7,23.4,25.6,27.3
Mar,9,15.8,18.7,21.4,23.2,25.2,27.2
Mar,10,15.6,18.9,22.1,23.6,25.6,27.2
Mar,11,15.8,18.4,21.2,23.4,25.5,29.8
Mar,12,15.6,18.3,22.0,22.8,25.7,27.7
Mar,13,15.0,17.0,18.9,23.2,25.2,28.5
Mar,14,14.7,17.5,20.1,22.7,24.6,28.0
Mar,15,15.2,18.0,20.0,22.7,25.3,26.6
Mar,16,14.7,17.4,19.3,23.2,24.8,26.8
Mar,17,15.0,17.4,19.5,22.9,24.7,27.5
Mar,18,14.6,17.1,18.5,22.6,24.4,25.9
Mar,19,15.4,17.4,18.7,22.1,24.0,26.0
Mar,20,14.8,17.2,18.5,22.5,24.7,26.2
Mar,21,14.4,17.8,18.9,22.8,25.2,26.7
Mar,22,14.6,17.8,20.0,23.1,24.8,26.7
Mar,23,14.6,18.1,20.0,22.5,24.8,25.9
Mar,24,14.2,18.2,20.0,22.6,24.5,26.1
Mar,25,14.8,17.1,18.3,22.2,24.4,25.9
Mar,26,14.9,16.9,19.7,22.6,24.7,25.8
Mar,27,14.4,17.5,19.8,22.5,24.6,25.5
Mar,28,14.5,18.0,20.2,22.4,24.3,25.9
Mar,29,15.3,17.6,19.4,22.0,24.5,25.9
Mar,30,14.5,17.7,19.4,22.0,24.3,26.2
Mar,31,13.7,17.8,19.4,22.1,23.8,25.6
Apr,1,14.4,17.1,18.2,21.8,23.8,26.0
Apr,2,14.5,17.9,19.2,21.4,23.9,25.9
Apr,3,13.8,16.9,20.6,21.4,23.8,25.1
Apr,4,13.0,16.8,19.9,21.5,23.7,25.4
Apr,5,12.8,17.4,19.1,21.5,23.2,25.1
Apr,6,14.0,16.7,19.0,21.0,23.5,25.4
Apr,7,13.5,17.0,20.6,21.1,23.1,25.6
Apr,8,14.0,17.3,19.0,21.2,23.2,24.1
Apr,9,12.9,16.3,17.6,20.8,23.1,24.1
Apr,10,12.9,16.1,19.8,20.7,23.2,25.4
Apr,11,12.8,15.6,19.9,20.4,22.8,24.3
Apr,12,12.6,16.7,18.9,20.4,22.5,24.3
Apr,13,12.8,16.1,17.3,19.9,22.8,23.6
Apr,14,12.2,15.5,18.1,19.8,22.3,23.7
Apr,15,12.6,16.5,18.4,19.8,22.3,23.3
Apr,16,13.1,16.4,17.9,20.4,21.9,22.9
Apr,17,13.0,16.5,18.7,19.8,22.9,24.0
Apr,18,12.6,16.5,18.4,19.4,21.5,24.1
Apr,19,13.1,16.4,18.9,19.6,22.0,24.3
Apr,20,13.2,16.5,19.7,19.6,22.6,24.3
Apr,21,12.4,15.9,18.2,19.9,22.0,24.2
Apr,22,11.9,14.8,18.4,19.4,21.9,22.7
Apr,23,12.9,15.6,17.9,19.8,21.9,23.9
Apr,24,11.4,16.0,17.8,19.6,21.7,22.5
Apr,25,12.0,16.1,17.8,19.4,21.5,22.7
Apr,26,13.3,16.4,18.3,19.6,21.5,23.4
Apr,27,12.9,16.9,18.8,19.1,22.3,25.9
Apr,28,12.2,16.1,17.7,19.0,21.8,23.4
Apr,29,12.7,15.7,17.2,18.6,20.8,22.1
Apr,30,11.5,15.7,18.1,18.6,20.9,21.9
May,1,11.4,15.1,18.0,18.2,20.7,22.5
May,2,12.2,15.4,17.7,18.2,21.2,22.8
May,3,10.6,14.6,18.3,18.1,20.6,23.0
May,4,11.2,15.6,17.0,18.4,20.5,22.3
May,5,11.2,15.0,17.1,18.8,20.6,22.0
May,6,11.1,13.9,16.9,18.6,20.4,21.4
May,7,10.6,14.8,17.0,18.3,20.7,22.2
May,8,10.5,14.2,17.8,18.2,20.4,22.2
May,9,11.1,14.8,16.9,18.0,20.4,21.3
May,10,10.5,14.2,15.9,18.0,20.7,22.0
May,11,10.9,15.5,17.6,17.9,20.4,22.0
May,12,10.5,14.8,18.1,17.8,20.1,22.2
May,13,10.3,15.4,17.2,17.6,20.8,24.6
May,14,10.6,14.3,17.9,17.5,19.9,22.1
May,15,10.6,14.1,17.8,17.7,20.0,21.6
May,16,10.9,13.6,16.3,17.2,20.1,21.8
May,17,9.6,13.5,16.9,17.2,19.7,21.4
May,18,10.7,13.3,16.5,17.3,18.8,21.7
May,19,11.3,13.8,17.6,17.1,19.8,21.8
May,20,11.0,13.9,16.4,17.4,19.4,20.7
May,21,10.8,13.4,15.4,17.0,19.2,20.4
May,22,10.3,13.6,16.1,16.7,19.3,20.7
May,23,10.3,13.2,15.9,16.5,18.9,20.4
May,24,10.2,13.9,16.1,16.8,18.7,20.3
May,25,10.0,13.9,17.1,16.5,19.0,20.4
May,26,10.1,13.6,17.2,16.7,19.0,20.5
May,27,9.2,13.2,15.6,16.3,18.1,20.0
May,28,9.4,13.4,16.2,16.1,19.0,20.9
May,29,9.4,13.0,15.4,15.9,18.4,20.7
May,30,9.4,13.4,15.3,15.8,18.0,20.7
May,31,9.3,12.9,15.1,15.9,17.5,20.0
Jun,1,9.3,13.8,15.1,15.9,17.7,21.2
Jun,2,9.6,12.8,16.5,16.2,18.5,20.2
Jun,3,8.8,13.8,14.6,16.2,18.0,19.4
Jun,4,8.9,12.7,15.2,16.0,18.0,19.7
Jun,5,9.2,13.5,15.8,15.7,17.8,21.1
Jun,6,9.5,13.0,14.5,15.9,18.2,20.5
Jun,7,8.8,12.6,14.8,15.1,18.2,20.0
Jun,8,8.9,12.9,14.6,15.6,18.4,20.9
Jun,9,9.4,13.9,16.4,15.9,18.1,19.1
Jun,10,8.2,12.3,16.5,15.8,17.8,19.9
Jun,11,8.8,12.0,16.0,15.8,18.6,20.5
Jun,12,9.4,12.3,14.4,15.4,17.6,19.0
Jun,13,8.7,12.6,16.1,15.8,17.3,19.0
Jun,14,9.0,12.0,13.3,15.2,17.4,20.5
Jun,15,8.6,12.5,15.3,15.7,17.7,23.8
Jun,16,8.6,11.4,13.6,15.0,17.4,18.8
Jun,17,8.5,12.6,14.6,15.2,17.3,18.8
Jun,18,8.7,12.1,15.6,15.5,17.5,19.9
Jun,19,8.4,11.4,14.4,15.2,17.2,19.5
Jun,20,8.9,11.7,13.7,14.9,17.4,20.3
Jun,21,8.6,12.6,14.0,15.2,16.9,17.8
Jun,22,7.7,11.4,15.6,14.9,17.2,20.0
Jun,23,8.4,11.3,13.0,14.8,17.3,18.1
Jun,24,9.1,11.8,14.0,15.1,17.2,19.1
Jun,25,8.6,12.3,13.6,14.8,17.0,18.3
Jun,26,7.9,11.7,13.8,14.9,17.1,19.0
Jun,27,8.3,11.7,14.3,14.8,16.6,19.1
Jun,28,8.0,11.4,13.7,14.9,16.5,17.7
Jun,29,8.0,11.3,13.3,14.7,16.8,18.6
Jun,30,7.6,11.2,13.7,14.4,16.2,18.6
Jul,1,7.3,11.0,14.9,14.4,16.7,18.2
Jul,2,7.5,10.6,13.6,14.2,17.0,18.8
Jul,3,7.6,10.9,15.7,14.4,16.8,18.3
Jul,4,8.0,11.4,13.4,14.1,16.4,17.4
Jul,5,7.4,11.1,13.0,14.4,16.4,18.3
Jul,6,8.0,11.0,13.2,14.4,16.3,18.9
Jul,7,8.3,11.6,13.3,14.6,16.4,17.0
Jul,8,7.6,11.6,14.1,14.6,16.6,19.6
Jul,9,7.6,11.3,13.8,14.5,16.4,18.4
Jul,10,7.2,11.0,14.3,14.4,16.4,18.4
Jul,11,7.2,11.3,13.7,14.0,16.6,17.6
Jul,12,7.7,11.0,13.2,13.7,16.0,18.1
Jul,13,6.9,11.0,13.0,13.9,16.2,17.8
Jul,14,7.7,11.4,13.5,14.3,16.1,17.8
Jul,15,8.3,11.0,14.1,13.8,16.4,17.8
Jul,16,8.1,11.6,13.5,14.4,16.9,17.4
Jul,17,7.8,11.7,13.1,14.7,16.3,17.7
Jul,18,8.4,11.4,13.9,14.8,16.6,19.1
Jul,19,8.1,11.0,13.6,14.9,17.0,18.7
Jul,20,8.1,11.3,13.6,14.9,16.5,18.0
Jul,21,8.3,11.8,13.3,14.4,16.3,18.7
Jul,22,8.1,11.4,13.6,14.6,16.4,18.0
Jul,23,8.4,11.3,14.6,14.8,16.9,18.5
Jul,24,7.2,11.2,12.7,14.4,16.0,17.4
Jul,25,7.5,11.3,13.3,14.5,16.1,17.0
Jul,26,7.4,10.6,12.1,14.6,16.6,18.6
Jul,27,8.1,11.1,12.5,14.6,16.7,19.0
Jul,28,8.3,10.8,13.0,14.4,16.5,17.4
Jul,29,8.0,11.2,12.4,15.0,16.6,18.0
Jul,30,7.4,10.7,12.3,15.0,17.2,18.8
Jul,31,7.7,10.7,12.3,14.8,17.3,18.3
Aug,1,8.6,12.3,13.6,15.2,16.7,18.0
Aug,2,8.6,11.3,13.6,14.6,16.5,19.9
Aug,3,7.8,10.8,12.7,14.7,17.1,20.6
Aug,4,7.7,11.1,13.4,15.0,16.7,18.3
Aug,5,7.8,10.9,13.0,14.6,16.4,18.1
Aug,6,7.9,10.7,13.0,15.0,16.7,17.7
Aug,7,7.9,11.1,13.6,14.7,16.9,18.3
Aug,8,8.5,10.9,14.2,15.0,17.1,18.8
Aug,9,8.3,11.4,12.3,14.7,16.9,18.5
Aug,10,8.9,11.8,13.0,14.9,16.9,17.9
Aug,11,9.0,11.7,13.4,15.2,16.9,19.6
Aug,12,8.4,11.3,14.2,15.5,17.0,18.1
Aug,13,8.6,11.3,14.1,15.4,16.9,18.3
Aug,14,8.4,11.0,13.3,15.0,16.2,18.2
Aug,15,8.6,10.8,12.3,14.7,16.4,17.6
Aug,16,7.8,10.8,15.1,14.8,16.9,20.3
Aug,17,7.8,11.0,15.4,14.9,17.4,18.5
Aug,18,7.6,11.4,16.0,14.9,16.9,20.1
Aug,19,8.4,11.3,15.3,14.7,16.9,18.3
Aug,20,8.7,11.5,12.9,14.7,17.0,21.0
Aug,21,8.8,11.6,13.0,14.9,16.5,20.4
Aug,22,8.8,11.0,12.8,15.0,17.2,18.6
Aug,23,9.0,11.5,12.8,15.0,17.1,18.2
Aug,24,9.2,11.2,12.9,15.4,17.2,18.9
Aug,25,9.1,11.5,14.1,15.2,17.0,18.8
Aug,26,9.5,12.3,14.3,15.6,17.4,19.0
Aug,27,8.9,12.0,13.7,15.4,17.3,18.6
Aug,28,8.5,10.5,14.3,15.4,18.0,19.1
Aug,29,8.8,11.7,13.5,15.6,17.5,19.8
Aug,30,8.1,11.8,13.1,15.4,17.2,18.9
Aug,31,8.2,11.3,15.4,15.6,17.2,20.8
Sept,1,8.9,11.8,13.1,15.6,17.8,18.7
Sept,2,8.9,11.6,13.6,15.9,17.8,19.2
Sept,3,9.6,11.3,13.9,15.4,18.0,20.3
Sept,4,9.4,12.0,14.2,15.8,18.3,20.0
Sept,5,9.4,12.1,13.5,15.6,17.8,19.0
Sept,6,9.3,12.5,13.9,15.9,17.9,20.4
Sept,7,9.6,12.3,13.6,15.5,17.6,19.2
Sept,8,9.9,12.0,14.3,15.9,18.2,20.4
Sept,9,9.9,12.1,14.4,15.6,18.2,20.5
Sept,10,9.8,12.5,14.8,15.7,18.2,20.6
Sept,11,9.6,12.4,14.2,16.0,18.1,20.3
Sept,12,9.6,12.8,14.4,16.2,18.7,20.9
Sept,13,9.9,12.5,14.4,16.4,18.6,20.6
Sept,14,9.6,12.5,16.4,16.4,18.7,20.6
Sept,15,10.4,13.0,15.0,16.3,19.1,19.8
Sept,16,10.2,12.3,14.3,16.6,18.7,21.1
Sept,17,10.0,13.1,13.8,16.6,18.7,20.4
Sept,18,10.1,12.9,15.2,16.4,18.4,20.9
Sept,19,9.8,12.5,15.2,16.1,18.5,20.4
Sept,20,9.6,12.2,15.5,16.3,19.2,20.6
Sept,21,9.9,12.0,12.7,16.6,18.3,23.0
Sept,22,10.9,12.8,15.1,16.5,19.3,21.2
Sept,23,11.0,13.0,14.7,16.6,18.7,19.8
Sept,24,11.1,13.4,14.4,17.1,18.2,19.5
Sept,25,10.9,13.1,14.7,16.8,18.9,20.5
Sept,26,10.8,13.3,16.0,17.0,18.8,20.6
Sept,27,10.9,14.0,15.8,16.6,19.2,22.0
Sept,28,10.7,12.8,15.1,16.7,19.4,21.0
Sept,29,10.9,13.6,15.8,16.7,19.9,21.2
Sept,30,11.0,13.7,15.5,17.1,19.1,20.6
Oct,1,11.0,14.3,15.3,16.4,19.1,20.1
Oct,2,11.0,13.9,14.8,16.9,18.9,20.6
Oct,3,10.5,12.7,14.7,17.0,18.8,20.9
Oct,4,11.0,14.1,15.0,17.4,20.0,22.0
Oct,5,10.9,13.5,16.0,17.4,19.8,21.1
Oct,6,11.2,14.4,15.7,17.0,19.9,21.3
Oct,7,11.8,14.1,16.4,17.5,19.6,20.9
Oct,8,11.8,14.5,16.0,17.6,20.1,22.0
Oct,9,11.1,13.8,16.2,17.2,19.6,21.2
Oct,10,11.2,14.1,16.5,17.1,19.4,20.0
Oct,11,11.7,13.7,15.2,17.1,19.6,21.9
Oct,12,11.4,13.9,15.6,17.4,19.6,22.3
Oct,13,11.2,13.9,15.9,17.6,19.6,21.9
Oct,14,10.9,14.8,16.7,17.2,20.0,21.7
Oct,15,11.2,13.9,15.5,17.3,19.8,21.3
Oct,16,11.6,13.2,14.1,17.2,19.6,22.2
Oct,17,11.3,13.9,16.0,17.5,20.2,22.7
Oct,18,11.3,12.9,14.2,17.4,20.3,21.8
Oct,19,10.9,13.8,16.3,17.6,20.0,22.1
Oct,20,11.7,14.2,15.7,17.6,20.3,22.0
Oct,21,12.0,14.2,16.1,17.9,20.2,22.2
Oct,22,12.0,14.0,16.0,17.7,19.9,22.9
Oct,23,12.0,14.3,15.7,18.1,20.9,23.6
Oct,24,11.6,14.3,15.5,17.8,20.6,22.7
Oct,25,12.2,14.2,16.9,18.0,20.9,23.0
Oct,26,12.7,14.4,16.2,18.2,21.2,23.2
Oct,27,12.5,15.0,17.4,19.2,21.2,22.7
Oct,28,12.6,15.0,16.8,18.8,20.6,23.5
Oct,29,11.9,14.6,16.9,18.6,21.5,23.0
Oct,30,12.0,15.6,16.8,18.5,21.1,23.3
Oct,31,12.6,14.6,15.9,18.6,21.8,23.3
Nov,1,11.9,14.3,15.6,18.8,20.9,22.0
Nov,2,12.6,15.2,17.3,18.4,21.5,23.3
Nov,3,12.8,15.4,17.9,18.7,21.2,23.1
Nov,4,12.8,15.5,17.5,19.0,21.6,23.4
Nov,5,12.1,14.9,17.0,18.9,21.0,24.1
Nov,6,12.6,15.1,17.3,18.8,22.0,24.3
Nov,7,13.0,15.9,17.2,19.2,22.7,25.2
Nov,8,12.4,15.1,17.7,19.4,22.7,23.9
Nov,9,12.6,15.5,18.0,19.3,21.7,23.8
Nov,10,12.4,15.1,17.1,19.4,21.6,23.0
Nov,11,13.1,15.1,16.9,19.4,22.5,23.7
Nov,12,13.2,15.4,18.1,19.8,22.7,24.7
Nov,13,13.2,16.1,18.7,19.4,21.5,23.9
Nov,14,13.4,16.3,17.9,19.9,23.0,25.5
Nov,15,12.9,15.8,17.0,19.9,22.2,25.1
Nov,16,12.7,15.6,17.7,19.8,22.7,24.4
Nov,17,12.9,15.6,17.6,19.8,22.2,23.3
Nov,18,12.6,15.3,15.9,19.8,21.8,23.5
Nov,19,13.0,15.3,18.0,19.5,22.0,24.8
Nov,20,13.0,15.1,16.9,19.6,22.8,23.9
Nov,21,13.4,15.7,18.2,19.8,22.4,24.3
Nov,22,13.2,15.5,17.1,20.0,22.8,25.1
Nov,23,13.4,15.9,17.3,19.7,22.3,25.6
Nov,24,13.6,15.4,16.9,19.8,22.3,24.1
Nov,25,13.7,15.9,17.8,20.2,22.7,23.9
Nov,26,13.8,15.6,17.1,20.6,23.2,25.9
Nov,27,13.8,16.2,18.3,20.0,23.5,25.5
Nov,28,13.8,16.6,18.0,20.8,22.9,24.8
Nov,29,14.4,16.8,18.4,20.4,23.4,25.1
Nov,30,13.9,17.2,18.3,21.1,24.2,25.6
Dec,1,14.4,17.3,18.3,21.0,23.8,24.7
Dec,2,14.8,17.2,19.0,21.1,23.9,24.5
Dec,3,14.9,17.0,18.5,21.8,24.6,25.5
Dec,4,14.8,16.9,18.8,21.0,23.6,25.9
Dec,5,14.6,16.9,19.5,21.3,23.7,26.0
Dec,6,14.5,17.1,19.7,21.9,24.6,26.8
Dec,7,14.2,16.9,18.6,21.2,24.0,26.4
Dec,8,14.6,17.2,18.6,20.9,24.4,26.4
Dec,9,14.4,18.0,19.3,21.3,25.0,27.0
Dec,10,14.6,18.0,19.0,21.4,24.5,27.5
Dec,11,14.6,18.0,19.6,21.5,24.1,27.6
Dec,12,14.8,17.7,19.5,21.8,24.6,26.7
Dec,13,14.6,17.8,19.9,21.7,25.0,26.8
Dec,14,14.7,16.8,18.2,22.2,24.4,25.9
Dec,15,15.1,18.4,19.2,21.8,24.8,26.2
Dec,16,15.3,17.4,19.6,22.1,24.8,26.7
Dec,17,15.4,18.1,19.8,22.2,24.5,26.5
Dec,18,15.6,18.1,19.9,22.6,24.7,26.3
Dec,19,15.6,17.8,19.2,22.2,24.4,25.8
Dec,20,15.3,18.0,20.4,22.4,24.9,26.9
Dec,21,15.1,17.9,20.3,22.2,25.8,27.3
Dec,22,15.4,18.0,19.4,21.9,25.4,28.3
Dec,23,15.6,18.5,20.5,22.1,25.3,26.6
Dec,24,15.0,18.8,20.2,22.3,25.4,27.2
Dec,25,15.4,18.0,19.9,22.5,25.1,26.6
Dec,26,15.0,17.9,19.4,22.0,25.1,26.3
Dec,27,15.4,18.1,20.4,22.4,24.8,27.4
Dec,28,15.9,18.5,20.2,23.0,25.4,27.9
Dec,29,15.7,18.3,20.2,22.5,25.2,27.2
Dec,30,15.8,18.3,20.2,23.0,25.4,27.1
Dec,31,15.4,18.7,19.6,22.4,25.3,28.3
